Year,Division,Position,Name
1932,Lightweights,1,Johnny Jadick
1932,Lightweights,2,Sammy Fuller
1932,Lightweights,3,Barney Ross
1932,Lightweights,4,Benny Bass
1932,Lightweights,5,Tracy Cox
1932,Lightweights,6,Eddie Cool
1932,Lightweights,7,Lew Massey
1932,Lightweights,8,Wesley Ramey
1932,Lightweights,9,Tony Herrera
1932,Lightweights,10,Bobby Pacho
1932,Featherweights,1,Fidel LaBarba
1932,Featherweights,2,Seaman Tommy Watson
1932,Featherweights,3,Baby Arizmendi
1932,Featherweights,4,Lew Feldman
1932,Featherweights,5,Nel Tarleton
1932,Featherweights,6,Varias Milling
1932,Featherweights,7,Eddie Shea
1932,Featherweights,8,Tommy Paul
1932,Featherweights,9,Albert Ladou
1932,Featherweights,10,Paul Dazzo
1932,Bantamweights,1,Speedy Dado
1932,Bantamweights,2,Pete Sanstol
1932,Bantamweights,3,Newsboy Brown
1932,Bantamweights,4,Rodolfo (Baby) Casanova
1932,Bantamweights,5,Young Tommy
1932,Bantamweights,6,Eugene Huat
1932,Bantamweights,7,Jimmy Thomas
1932,Bantamweights,8,Johnny King
1932,Bantamweights,9,Wee Willie Davies
1932,Bantamweights,10,Bobby Leitham
1932,Flyweights,1,Midget Wolgast
1932,Flyweights,2,Jackie Brown
1932,Flyweights,3,Little Pancho
1932,Flyweights,4,Mickey McGuire
1932,Flyweights,5,Babe Triscaro
1932,Flyweights,6,Phil Tobias
1932,Flyweights,7,Valentin Angelmann
1932,Flyweights,8,Praxille Gyde
1932,Flyweights,9,Mariano Arilla
1932,Flyweights,10,Maurice Huguenin
1933,Heavyweights,1,Max Baer
1933,Heavyweights,2,Tommy Loughran
1933,Heavyweights,3,King Levinsky
1933,Heavyweights,4,Max Schmeling
1933,Heavyweights,5,Don McCorkindale
1933,Heavyweights,6,Patsy Perroni
1933,Heavyweights,7,Walter Neusel
1933,Heavyweights,8,Charley Massare
1933,Heavyweights,9,Steve Hamas
1933,Heavyweights,10,Lee Ramage
1933,Light Heavyweights,1,John Henry Lewis
1933,Light Heavyweights,2,Tony Shucco
1933,Light Heavyweights,3,Joe Knight
1933,Light Heavyweights,4,Bob Olin
1933,Light Heavyweights,5,Bob Godwin
1933,Light Heavyweights,6,Clyde Chastain
1933,Light Heavyweights,7,Young Firpo
1933,Light Heavyweights,8,Al Gainer
1933,Light Heavyweights,9,Lou Brouillard
1933,Light Heavyweights,10,Mickey Walker
1933,Middleweights,1,Vince Dundee
1933,Middleweights,2,Teddy Yarosz
1933,Middleweights,3,Gorilla Jones
1933,Middleweights,4,Jimmy Smith
1933,Middleweights,5,Young Terry
1933,Middleweights,6,Ben Jeby
1933,Middleweights,7,Dave Shade
1933,Middleweights,8,Len Harvey
1933,Middleweights,9,Kid Tunero
1933,Middleweights,10,Frank Battaglia
1933,Welterweights,1,Billy Petrolle
1933,Welterweights,2,Bep van Klaveren
1933,Welterweights,3,Ceferino Garcia
1933,Welterweights,4,Kid Azteca
1933,Welterweights,5,Eddie (Kid) Wolfe
1933,Welterweights,6,Jimmy Leto
1933,Welterweights,7,Tony Herrera
1933,Welterweights,8,Baby Joe Gans
1933,Welterweights,9,Andy Callahan
1933,Welterweights,10,Billy Hogan
1933,Lightweights,1,Tony Canzoneri
1933,Lightweights,2,Young Peter Jackson
1933,Lightweights,3,Wesley Ramey
1933,Lightweights,4,Sammy Fuller
1933,Lightweights,5,Benny Bass
1933,Lightweights,6,Eddie Cool
1933,Lightweights,7,Frankie Klick
1933,Lightweights,8,Johnny Jadick
1933,Lightweights,9,Lou Ambers
1933,Lightweights,10,Joe Ghnouly
1933,Featherweights,1,Seaman Tommy Watson
1933,Featherweights,2,Freddie Miller
1933,Featherweights,3,Frankie Wallace
1933,Featherweights,4,Baby Arizmendi
1933,Featherweights,5,Georgie Hansford
1933,Featherweights,6,Tommy Paul
1933,Featherweights,7,Petey Hayes
1933,Featherweights,8,Lew Feldman
1933,Featherweights,9,Jackie Wilson
1933,Featherweights,10,Petey Sarron
1933,Bantamweights,1,Rodolfo (Baby) Casanova
1933,Bantamweights,2,Pete Sanstol
1933,Bantamweights,3,Lew Farber
1933,Bantamweights,4,Speedy Dado
1933,Bantamweights,5,Young Tommy
1933,Bantamweights,6,Little Pancho
1933,Bantamweights,7,Star Frisco
1933,Bantamweights,8,Joe Tei Ken
1933,Bantamweights,9,Bobby Leitham
1933,Bantamweights,10,Ernie Maurer
1933,Flyweights,1,Midget Wolgast
1933,Flyweights,2,Jackie Brown
1933,Flyweights,3,Valentin Angelmann
1933,Flyweights,4,Ginger Foran
1933,Flyweights,5,Mickey McGuire
1933,Flyweights,6,Maurice Huguenin
1933,Flyweights,7,Praxille Gyde
1933,Flyweights,8,Tommy Pardoe
1933,Flyweights,9,Ellis Ashurst
1933,Flyweights,10,Tommy Steele
1934,Heavyweights,1,Steve Hamas
1934,Heavyweights,2,Primo Carnera
1934,Heavyweights,3,Art Lasky
1934,Heavyweights,4,Max Schmeling
1934,Heavyweights,5,King Levinsky
1934,Heavyweights,6,Patsy Perroni
1934,Heavyweights,7,Jack Petersen
1934,Heavyweights,8,Natie Brown
1934,Heavyweights,9,Joe Louis
1934,Heavyweights,10,Lee Ramage
1934,Light Heavyweights,1,Maxie Rosenbloom
1934,Light Heavyweights,2,Tony Shucco
1934,Light Heavyweights,3,Joe Knight
1934,Light Heavyweights,4,John Henry Lewis
1934,Light Heavyweights,5,Lou Brouillard
1934,Light Heavyweights,6,Ambrose Palmer
1934,Light Heavyweights,7,Al Gainer
1934,Light Heavyweights,8,Johnny Miler
1934,Light Heavyweights,9,Fred Lenhart
1934,Light Heavyweights,10,Al McCoy
1934,Middleweights,1,Teddy Yarosz
1934,Middleweights,2,Paul Pirrone
1934,Middleweights,3,Young Corbett III
1934,Middleweights,4,Oscar Rankin
1934,Middleweights,5,Carmelo Candel
1934,Middleweights,6,Jock McAvoy
1934,Middleweights,7,Vince Dundee
1934,Middleweights,8,Fred Henneberry
1934,Middleweights,9,Freddie Steele
1934,Middleweights,10,Lou Halper
1934,Welterweights,1,Kid Azteca
1934,Welterweights,2,Bep van Klaveren
1934,Welterweights,3,Harry Dublinsky
1934,Welterweights,4,Ceferino Garcia
1934,Welterweights,5,Eddie (Kid) Wolfe
1934,Welterweights,6,Bobby Pacho
1934,Welterweights,7,Tony Falco
1934,Welterweights,8,Willard Brown
1934,Welterweights,9,Werther Arcelli
1934,Welterweights,10,Andy Callahan
1934,Lightweights,1,Tony Canzoneri
1934,Lightweights,2,Frankie Klick
1934,Lightweights,3,Young Peter Jackson
1934,Lightweights,4,Sammy Fuller
1934,Lightweights,5,Gustave Humery
1934,Lightweights,6,Cleto Locatelli
1934,Lightweights,7,Lou Ambers
1934,Lightweights,8,Eddie Cool
1934,Lightweights,9,Lew Massey
1934,Lightweights,10,Tracy Cox
1934,Featherweights,1,Baby Arizmendi
1934,Featherweights,2,Mike Belloise
1934,Featherweights,3,Petey Hayes
1934,Featherweights,4,Nel Tarleton
1934,Featherweights,5,Petey Sarron
1934,Featherweights,6,Henry Armstrong
1934,Featherweights,7,Merv (Darky) Blandon
1934,Featherweights,8,Johnny Pena
1934,Featherweights,9,Jackie Wilson
1934,Featherweights,10,Maurice Holtzer
1934,Bantamweights,1,Sixto Escobar
1934,Bantamweights,2,Young Tommy
1934,Bantamweights,3,Pablo Dano
1934,Bantamweights,4,Lou Salica
1934,Bantamweights,5,Speedy Dado
1934,Bantamweights,6,Star Frisco
1934,Bantamweights,7,Baby Quintana
1934,Bantamweights,8,Little Pancho
1934,Bantamweights,9,Henry Moreno
1934,Bantamweights,10,Joe Tei Ken
1934,Flyweights,1,Midget Wolgast
1934,Flyweights,2,Jackie Brown
1934,Flyweights,3,Benny Lynch
1934,Flyweights,4,Maurice Huguenin
1934,Flyweights,5,Valentin Angelmann
1934,Flyweights,6,Joe Mendiola
1934,Flyweights,7,Bobby McGhee
1934,Flyweights,8,Young Siki
1934,Flyweights,9,Tommy Pardoe
1934,Flyweights,10,Phil Milligan
1935,Heavyweights,1,Joe Louis
1935,Heavyweights,2,Max Schmeling
1935,Heavyweights,3,Primo Carnera
1935,Heavyweights,4,Charley Retzlaff
1935,Heavyweights,5,Tommy Loughran
1935,Heavyweights,6,Eddie Mader
1935,Heavyweights,7,Hank Hankinson
1935,Heavyweights,8,Ray Impellittiere
1935,Heavyweights,9,Al Ettore
1935,Heavyweights,10,Ford Smith
1935,Light Heavyweights,1,Maxie Rosenbloom
1935,Light Heavyweights,2,Jock McAvoy
1935,Light Heavyweights,3,Al McCoy
1935,Light Heavyweights,4,Bob Olin
1935,Light Heavyweights,5,Tony Shucco
